question,intent
I am having a seizure what do I do,emergency
I cannot breathe properly,emergency
I collapsed on the floor,emergency
I lost consciousness,emergency
severe chest pain,emergency
I feel like I am dying,emergency
my symptoms are suddenly much worse,emergency
I cannot wake up,emergency
I am having trouble breathing,emergency
I need an ambulance,emergency
sudden severe headache,emergency
I am vomiting blood,emergency
sudden weakness in my arm or leg,emergency
sudden vision loss,emergency
I cannot speak suddenly,emergency
severe confusion suddenly,emergency
my face is drooping,emergency
I am shaking uncontrollably,emergency
I feel extremely dizzy and cannot stand,emergency
sudden numbness on one side of my body,emergency
I cannot move my legs,emergency
severe pain that will not stop,emergency
I think I am having a stroke,emergency
I cannot swallow suddenly,emergency
I am losing vision rapidly,emergency
I had a fit just now,emergency
my family member is unconscious,emergency
sudden loss of balance,emergency
I cannot hold things suddenly,emergency
I blacked out,emergency
I fainted and hit my head,emergency
I feel like I am going to collapse,emergency
my condition is getting much worse very fast,emergency
do I need to go to emergency room now,emergency
should I call ambulance,emergency
I had a grand mal seizure,emergency
my breathing stopped briefly,emergency
I have very high fever with seizure,emergency
I cannot control my body movements,emergency
I am in extreme pain please help immediately,emergency
very sudden onset of symptoms,emergency
rapid change in my condition,emergency
I have severe headache and repeated vomiting,emergency
I fell down and cannot get up,emergency
sudden paralysis on my right side,emergency
I am choking,emergency
I passed out for a few minutes,emergency
my head feels like it is going to explode,emergency
I cannot see out of one eye suddenly,emergency
I am shaking and cannot stop,emergency
I need emergency help right now,emergency
my body is completely numb on one side,emergency
I had a convulsion,emergency
I cannot recognize where I am,emergency
I have lost control of my bladder suddenly,emergency
my speech is completely gone,emergency
I cannot understand what people are saying,emergency
I have a very high temperature and feel very confused,emergency
I hit my head very hard and feel strange,emergency
I am having uncontrollable muscle spasms,emergency
I feel my heart is beating very fast and I am confused,emergency
I cannot walk at all suddenly,emergency
I have double vision suddenly,emergency
my arm is completely paralyzed,emergency
I feel a sudden very intense pressure in my head,emergency
I am having a panic attack and cannot breathe,emergency
I vomited three times in the last hour,emergency
my family says I was not responding for a few minutes,emergency
I feel extremely confused and do not know what day it is,emergency
I have sudden ringing and then lost hearing,emergency
I feel like everything around me is spinning and I cannot stop it,emergency
I cannot open my eyes properly,emergency
I have sudden loss of coordination,emergency
I feel my leg dragging when I walk suddenly,emergency
my tongue feels numb suddenly,emergency
I feel I am about to have a seizure,emergency
I have chest tightness and cannot breathe,emergency
I feel my face is completely numb,emergency
I had a blackout while driving,emergency
I cannot feel my hands at all suddenly,emergency
I feel pressure behind my eye and my vision is going,emergency
I fell off the bed and cannot get up,emergency
I am bleeding from my head,emergency
I have sudden complete confusion,emergency
my condition changed very quickly in the last hour,emergency
I think I need to go to hospital right now,emergency
I feel something is very wrong with my brain right now,emergency
I cannot recognize my family members suddenly,emergency
I have a seizure that will not stop,emergency
I feel I am losing consciousness right now,emergency
I have sudden loss of smell and taste and confusion,emergency
I cannot stand up without falling,emergency
I feel extreme pressure in my skull suddenly,emergency
I cannot control my arms,emergency
I have uncontrollable shaking on my right side,emergency
I am having difficulty swallowing and breathing,emergency
I need help immediately,emergency
I think I am dying please help,emergency
I feel my brain is not working,emergency
What is glioma,diagnosis
What does my diagnosis mean,diagnosis
What type of brain tumor do I have,diagnosis
What is grade 4 glioblastoma,diagnosis
