question,intent,answer,language
I am having a seizure what do I do,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot breathe properly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I collapsed on the floor,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I lost consciousness,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
severe chest pain,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel like I am dying,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my symptoms are suddenly much worse,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot wake up,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am having trouble breathing,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I need an ambulance,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
sudden severe headache,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am vomiting blood,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
sudden weakness in my arm or leg,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
sudden vision loss,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot speak suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
severe confusion suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my face is drooping,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am shaking uncontrollably,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel extremely dizzy and cannot stand,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
sudden numbness on one side of my body,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot move my legs,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
severe pain that will not stop,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I think I am having a stroke,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot swallow suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I am losing vision rapidly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I had a fit just now,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my family member is unconscious,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
sudden loss of balance,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I cannot hold things suddenly,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I blacked out,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I fainted and hit my head,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
I feel like I am going to collapse,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
my condition is getting much worse very fast,emergency,This sounds like a medical emergency. Please call 1990 immediately or go to the nearest hospital emergency room. Do not wait — contact your care team right away.,en
